# T        m        E       c       chi
1.500000000000000000e+00 9.865216800000000674e-01 -9.878388800000000629e+03 1.983998639186223267e-01 2.802001662934501883e-02
1.550000000000000044e+00 9.833919199999999750e-01 -9.695466399999999339e+03 2.323824800933932677e-01 3.392820437715883541e-02
1.600000000000000089e+00 9.797502400000001055e-01 -9.725129600000000210e+03 2.643046255991793880e-01 4.241933115999713122e-02
1.649999999999999911e+00 9.748804799999999382e-01 -9.576180399999999281e+03 3.062518502639126616e-01 5.778994389357106076e-02
1.699999999999999956e+00 9.702352000000000753e-01 -9.486276799999999639e+03 3.449790701404162885e-01 6.595497788230333946e-02
1.750000000000000000e+00 9.639620800000000544e-01 -9.486387199999999211e+03 3.888341781129642238e-01 8.634784296214702282e-02
1.800000000000000044e+00 9.565403200000001105e-01 -9.446658400000000256e+03 4.595099394354554834e-01 1.190064309686884036e-01
1.850000000000000089e+00 9.485008000000001438e-01 -9.346324000000000524e+03 5.119619253763236788e-01 1.586365612967196026e-01
1.899999999999999911e+00 9.388484000000000274e-01 -9.069269200000000637e+03 5.551941862991311982e-01 1.819135492629669060e-01
1.949999999999999956e+00 9.267340800000000156e-01 -9.019468399999999747e+03 6.781314399930539194e-01 3.059853212226354424e-01
2.000000000000000000e+00 9.109279999999998489e-01 -8.741995600000000195e+03 7.215875180646776910e-01 3.661801600005065715e-01
2.049999999999999822e+00 8.915683199999999697e-01 -8.694804000000000087e+03 8.733861067463853933e-01 7.299145614361938206e-01
2.100000000000000089e+00 8.713273599999999952e-01 -8.598406800000000658e+03 9.872501509070666925e-01 9.073460231314351976e-01
2.149999999999999911e+00 8.411172000000000093e-01 -8.272047599999999875e+03 1.095924727679459698e+00 1.250005795534909092e+00
2.200000000000000178e+00 7.841332000000000857e-01 -7.779949200000000019e+03 1.254790794987939329e+00 3.847515620181656715e+00
2.250000000000000000e+00 7.340142399999999290e-01 -7.649300000000000182e+03 1.434958222222033841e+00 4.467996788025057953e+00
2.299999999999999822e+00 6.171310400000000751e-01 -7.198084399999999732e+03 1.821569881031328775e+00 1.203845730056338503e+01
2.350000000000000089e+00 2.541664800000000279e-01 -6.724813199999999597e+03 1.253385235365292782e+00 3.212987036213785075e+01
2.399999999999999911e+00 2.054050400000000109e-01 -6.167595999999999549e+03 9.715268877785031565e-01 1.448771954020666541e+01
2.450000000000000178e+00 1.815362400000000154e-01 -6.106255199999999604e+03 1.120280021521906866e+00 1.886153518230855752e+01
2.500000000000000000e+00 1.177755200000000085e-01 -5.609408000000000357e+03 8.498850775039196170e-01 7.539096104729597236e+00
2.549999999999999822e+00 9.872695999999998862e-02 -5.436340400000000045e+03 7.748391251266576463e-01 4.870359883488632136e+00
2.600000000000000089e+00 9.560103999999999824e-02 -5.289818000000000211e+03 7.178053772780140784e-01 5.310628675883078742e+00
2.649999999999999911e+00 9.767879999999999618e-02 -5.122826399999999921e+03 6.596587917714749061e-01 4.982875651471698752e+00
2.700000000000000178e+00 6.703127999999999864e-02 -4.936065200000000004e+03 5.933897694902409148e-01 2.604737434779258898e+00
2.750000000000000000e+00 7.412072000000000105e-02 -4.776589600000000246e+03 5.662986352045673577e-01 2.793169587892363914e+00
2.799999999999999822e+00 6.614623999999999504e-02 -4.726240799999999581e+03 5.108489599675701820e-01 2.365744790948571374e+00
2.850000000000000089e+00 6.191896000000000205e-02 -4.421069199999999910e+03 4.844051467581652615e-01 1.734071319752981566e+00
2.899999999999999911e+00 6.612096000000000640e-02 -4.333460399999999936e+03 4.519500419424844484e-01 2.224075331619309814e+00
2.950000000000000178e+00 5.666768000000000499e-02 -4.207733599999999569e+03 4.190507201857691655e-01 1.612614640184406367e+00
