# T        m        E       c       chi
1.800000000000000044e+00 9.580218750000000227e-01 -2.470488000000000000e+02 4.276737006172744993e-01 1.002098996527757274e-01
1.820000000000000062e+00 9.408781250000000096e-01 -2.292839999999999918e+02 6.066265396691125078e-01 3.403919776785724882e-01
1.840000000000000080e+00 9.430343749999999803e-01 -2.371795999999999935e+02 5.817236228438239509e-01 2.217097686820632962e-01
1.860000000000000098e+00 9.510718750000000110e-01 -2.336456000000000017e+02 4.665676696727880657e-01 1.084974297715035618e-01
1.879999999999999893e+00 9.437031249999999760e-01 -2.325680000000000121e+02 5.188883544590131569e-01 1.479221326462796526e-01
1.899999999999999911e+00 9.431781249999999783e-01 -2.202567999999999984e+02 5.265982243767403093e-01 1.456804312500019905e-01
1.919999999999999929e+00 9.341062500000000268e-01 -2.431508000000000038e+02 5.785609747992347396e-01 2.014064466145826238e-01
1.939999999999999947e+00 9.319812499999999833e-01 -2.145064000000000135e+02 6.163893904771934329e-01 2.033895760309287759e-01
1.959999999999999964e+00 9.249749999999999917e-01 -2.214879999999999995e+02 6.306106830487273607e-01 2.168545714285703419e-01
1.979999999999999982e+00 9.137999999999999456e-01 -2.401268000000000029e+02 7.219349498775626817e-01 3.001271919191946802e-01
2.000000000000000000e+00 9.159437499999999455e-01 -2.242136000000000138e+02 6.875717774999827725e-01 3.070054987500050458e-01
2.020000000000000018e+00 8.898781249999999643e-01 -2.173867999999999938e+02 9.049296092294931704e-01 6.106692076113862111e-01
2.040000000000000036e+00 8.943718750000000384e-01 -2.376216000000000008e+02 8.269205858323529501e-01 5.233708330269593034e-01
2.060000000000000053e+00 8.813062499999999577e-01 -2.242708000000000084e+02 8.968986656376416455e-01 6.584549987864121157e-01
2.080000000000000071e+00 8.958343749999999606e-01 -2.048771999999999878e+02 7.370566469813365496e-01 3.447779780649088965e-01
2.100000000000000089e+00 8.494281249999999783e-01 -2.328763999999999896e+02 1.045674330498874705e+00 9.556930092261916032e-01
2.120000000000000107e+00 8.685093750000000279e-01 -2.175508000000000095e+02 8.636852922525467546e-01 5.642264360259426903e-01
2.140000000000000124e+00 8.447062499999999918e-01 -2.155096000000000060e+02 1.022816907590178737e+00 8.945170455607476256e-01
2.160000000000000142e+00 8.302687499999999998e-01 -2.301947999999999865e+02 1.107243886638404007e+00 1.077971471064814946e+00
2.180000000000000160e+00 8.371968749999999515e-01 -1.541408000000000129e+02 1.021481828128937064e+00 8.272742520068848693e-01
2.200000000000000178e+00 8.243125000000000036e-01 -2.123963999999999999e+02 1.014570206095041449e+00 8.844067045454517828e-01
2.220000000000000195e+00 8.076031249999999773e-01 -1.990039999999999907e+02 1.075795339258189598e+00 1.117346427646397800e+00
2.240000000000000213e+00 7.697562500000000307e-01 -2.077523999999999944e+02 1.272045818219883273e+00 1.469545847098212787e+00
2.259999999999999787e+00 7.952156249999999815e-01 -1.972427999999999884e+02 1.065430217225324716e+00 1.067836847068583062e+00
2.279999999999999805e+00 7.744124999999999481e-01 -1.511304000000000087e+02 1.185429037780845851e+00 1.236039653508775427e+00
2.299999999999999822e+00 7.190906249999999833e-01 -2.025843999999999880e+02 1.325257787807192722e+00 1.727347314945652634e+00
2.319999999999999840e+00 7.616937499999999472e-01 -2.088700000000000045e+02 1.090581977835177074e+00 1.157073662715517814e+00
2.339999999999999858e+00 7.137750000000000483e-01 -1.973120000000000118e+02 1.194308203667169499e+00 1.561903188034187373e+00
2.359999999999999876e+00 7.125812500000000549e-01 -1.608987999999999943e+02 1.191585118769756590e+00 1.497479693855932270e+00
2.379999999999999893e+00 6.822281249999999631e-01 -1.382307999999999879e+02 1.246728281459659193e+00 1.711487403098740812e+00
2.399999999999999911e+00 6.835375000000000201e-01 -1.216460000000000008e+02 1.162715614149304910e+00 1.562513587499999357e+00
2.419999999999999929e+00 6.702156249999999815e-01 -1.482724000000000046e+02 1.127350522078408579e+00 1.540639989411158650e+00
2.439999999999999947e+00 6.757968749999999636e-01 -1.599952000000000112e+02 1.121304696318181193e+00 1.410692872694672362e+00
2.459999999999999964e+00 6.516781249999999970e-01 -1.588528000000000020e+02 1.154072714653970433e+00 1.789697568851626563e+00
2.479999999999999982e+00 6.262687500000000407e-01 -1.359151999999999987e+02 1.100105300468265934e+00 1.609711482862901999e+00
2.500000000000000000e+00 5.870593750000000499e-01 -1.574496000000000038e+02 1.092106649600000257e+00 1.832991529749997905e+00
2.520000000000000018e+00 5.790218750000000192e-01 -1.562988000000000000e+02 1.096644302327406839e+00 1.797628380704363593e+00
2.540000000000000036e+00 5.869687500000000391e-01 -1.683624000000000080e+02 1.075616577283147635e+00 1.777399384842518693e+00
2.560000000000000053e+00 5.917343750000000346e-01 -1.840911999999999864e+02 1.036875921630875386e+00 1.641683099365233378e+00
2.580000000000000071e+00 5.335593749999999469e-01 -1.481759999999999877e+02 1.022867616128851243e+00 1.800378846656978116e+00
