# T        m        E       c       chi
1.500000000000000000e+00 9.864135111111110854e-01 -2.222430559999999969e+04 2.021453912994007895e-01 2.784249173340413996e-02
1.550000000000000044e+00 9.836166400000000420e-01 -2.196930559999999969e+04 2.342222265613355670e-01 3.480539515872987238e-02
1.600000000000000089e+00 9.796000000000000263e-01 -2.183122119999999995e+04 2.558537687899337110e-01 4.069741111104550890e-02
1.649999999999999911e+00 9.750332800000000022e-01 -2.167208799999999974e+04 3.066436653265648404e-01 6.058950369417705900e-02
1.699999999999999956e+00 9.702167466666665741e-01 -2.152795400000000154e+04 3.345542719839904033e-01 6.657161321464138970e-02
1.750000000000000000e+00 9.638665244444444280e-01 -2.125893920000000071e+04 3.840285781514347074e-01 8.722589453795988323e-02
1.800000000000000044e+00 9.573383111111112287e-01 -2.100602600000000166e+04 4.202503003537736426e-01 1.090905299743621937e-01
1.850000000000000089e+00 9.487514311111110432e-01 -2.081588639999999941e+04 4.937809227205853246e-01 1.453065765059297632e-01
1.899999999999999911e+00 9.387974400000000941e-01 -2.039124919999999838e+04 5.615433425410192303e-01 1.848895338139355249e-01
1.949999999999999956e+00 9.274251377777776861e-01 -2.023721879999999874e+04 6.448666053787021069e-01 2.561326524032454532e-01
2.000000000000000000e+00 9.126235377777779378e-01 -1.980767680000000109e+04 7.219391085227330196e-01 3.446126706868266054e-01
2.049999999999999822e+00 8.925619911111111193e-01 -2.084989119999999821e+04 7.803963360473463728e-01 5.445232749756047097e-01
2.100000000000000089e+00 8.717179377777776184e-01 -1.884134960000000137e+04 8.961484537078980850e-01 6.358163555935619771e-01
2.149999999999999911e+00 8.375870577777777548e-01 -1.837046519999999873e+04 1.109138683068996656e+00 1.412228093036792753e+00
2.200000000000000178e+00 7.876273422222221932e-01 -1.781754880000000048e+04 1.368285370744402041e+00 3.242628019843564413e+00
2.250000000000000000e+00 6.943100444444444408e-01 -1.672616119999999864e+04 1.965873557056484477e+00 1.472761672406910982e+01
2.299999999999999822e+00 5.026515911111111290e-01 -1.586327319999999963e+04 1.991912225558211791e+00 4.920788093595827917e+01
2.350000000000000089e+00 1.681014044444444633e-01 -1.504452839999999924e+04 1.287671810261626693e+00 4.849432651679167350e+01
2.399999999999999911e+00 1.231777777777778027e-01 -1.425095399999999972e+04 1.156867514938851871e+00 1.416794678333331881e+01
2.450000000000000178e+00 1.039238044444444342e-01 -1.284917040000000088e+04 9.914370868085649047e-01 1.194527392667864341e+01
2.500000000000000000e+00 8.651420444444443691e-02 -1.267167679999999928e+04 8.830141650992499036e-01 1.050019954647040521e+01
2.549999999999999822e+00 8.299548444444444784e-02 -1.214497760000000017e+04 8.002741618549367164e-01 5.156906316677297042e+00
2.600000000000000089e+00 5.915342222222223084e-02 -1.163302959999999985e+04 7.006252708441327304e-01 4.615807408957262936e+00
2.649999999999999911e+00 6.367455999999999117e-02 -1.138933319999999912e+04 6.510772777095040764e-01 4.672292662717988598e+00
2.700000000000000178e+00 4.891960888888888942e-02 -1.096437999999999920e+04 5.600995848197395377e-01 2.861165125278024579e+00
2.750000000000000000e+00 5.159217777777778263e-02 -1.064357159999999931e+04 5.458028059140600519e-01 3.438640973834341530e+00
2.799999999999999822e+00 4.269898666666666759e-02 -1.014209920000000056e+04 4.958229423887065557e-01 2.128302307857777631e+00
2.850000000000000089e+00 4.283107555555556306e-02 -1.007460039999999935e+04 4.943773910846908093e-01 1.949888819958517372e+00
2.899999999999999911e+00 3.866847999999999813e-02 -9.767551999999999680e+03 4.497122324431236939e-01 1.639216655691034585e+00
2.950000000000000178e+00 3.919733333333333403e-02 -9.334368000000000393e+03 4.111176916160974582e-01 1.702365190207156154e+00
