1.500000000000000000e+00 6.164189999999999827e+02 3.799973704000000143e+05 -2.468963200000000143e+03
1.550000000000000044e+00 6.147691999999999553e+02 3.779722800000000279e+05 -2.415130799999999908e+03
1.600000000000000089e+00 6.126490000000000009e+02 3.753784823999999790e+05 -2.424128400000000056e+03
1.650000000000000133e+00 6.094589999999999463e+02 3.714974151999999885e+05 -2.406356800000000021e+03
1.700000000000000178e+00 6.062867999999999711e+02 3.676536991999999736e+05 -2.368338000000000193e+03
1.750000000000000222e+00 6.019221999999999753e+02 3.624213424000000232e+05 -2.340114000000000033e+03
1.800000000000000266e+00 5.982068000000000438e+02 3.579804591999999830e+05 -2.316469999999999800e+03
1.850000000000000311e+00 5.931896000000000413e+02 3.520353632000000216e+05 -2.286109599999999773e+03
1.900000000000000355e+00 5.867273999999999887e+02 3.444489376000000047e+05 -2.308815999999999804e+03
1.950000000000000400e+00 5.791660000000000537e+02 3.357282024000000092e+05 -2.186167199999999866e+03
2.000000000000000444e+00 5.724561999999999671e+02 3.280742968000000110e+05 -2.252612399999999980e+03
2.050000000000000711e+00 5.576660000000000537e+02 3.117998640000000014e+05 -2.180839199999999892e+03
2.100000000000000533e+00 5.429257999999999811e+02 2.964155224000000162e+05 -2.187338400000000092e+03
2.150000000000000355e+00 5.170258000000000038e+02 2.693524471999999951e+05 -2.034271600000000035e+03
2.200000000000000622e+00 4.909148000000000138e+02 2.453783232000000135e+05 -2.040135600000000068e+03
2.250000000000000888e+00 4.756990000000000123e+02 2.294532031999999890e+05 -1.996241600000000062e+03
2.300000000000000711e+00 -3.320027999999999793e+02 1.669015536000000138e+05 -1.865087199999999939e+03
2.350000000000000533e+00 -3.368804000000000087e+02 1.460206007999999856e+05 -1.844453600000000051e+03
2.400000000000000799e+00 7.413960000000000150e+01 6.495044879999999830e+04 -1.564761600000000044e+03
2.450000000000001066e+00 -1.880559999999999832e+01 3.949446480000000156e+04 -1.423487200000000030e+03
2.500000000000000888e+00 3.574240000000000350e+01 3.034176320000000123e+04 -1.445439599999999928e+03
2.550000000000000711e+00 2.353160000000000096e+01 2.333528159999999843e+04 -1.406584000000000060e+03
2.600000000000000977e+00 1.548639999999999972e+01 2.394884400000000096e+04 -1.273045200000000023e+03
2.650000000000001243e+00 3.451239999999999952e+01 1.979368319999999949e+04 -1.206362800000000107e+03
2.700000000000001066e+00 -2.568240000000000123e+01 1.424684799999999996e+04 -1.255171199999999999e+03
2.750000000000000888e+00 -9.292199999999999349e+00 1.105912080000000060e+04 -1.138873199999999997e+03
2.800000000000001155e+00 6.104000000000000536e-01 1.314306559999999990e+04 -1.206301600000000008e+03
2.850000000000001421e+00 -4.127200000000000202e+00 1.000589999999999964e+04 -1.097913199999999961e+03
2.900000000000001243e+00 -5.762199999999999989e+00 8.033102399999999761e+03 -1.088466400000000021e+03
2.950000000000001066e+00 1.772000000000000020e+00 7.704423999999999978e+03 -1.093001999999999953e+03
