# T        m        E       c       chi
1.800000000000000044e+00 9.574550781249999698e-01 -3.953420000000000073e+03 4.063395785107314917e-01 1.069077929688293932e-01
1.820000000000000062e+00 9.526970703124999496e-01 -3.813366799999999785e+03 4.775877248655276408e-01 1.348924604867833832e-01
1.840000000000000080e+00 9.487917968750000375e-01 -3.798335199999999986e+03 5.016945738934917021e-01 1.478303626867564780e-01
1.860000000000000098e+00 9.467617187500000364e-01 -3.827575600000000122e+03 5.226364806891465875e-01 1.570128444219795194e-01
1.879999999999999893e+00 9.424626953125000428e-01 -3.807736399999999776e+03 5.284408120460803993e-01 1.592971392744010894e-01
1.899999999999999911e+00 9.380853515624999472e-01 -3.680137600000000020e+03 5.400831745152631091e-01 1.778418583676524001e-01
1.919999999999999929e+00 9.365855468749999524e-01 -3.637326399999999921e+03 5.703584520129941771e-01 1.832828547363737071e-01
1.939999999999999947e+00 9.275433593749999872e-01 -3.594231999999999971e+03 6.115032648261812254e-01 2.486232183472796009e-01
1.959999999999999964e+00 9.212685546875000187e-01 -3.712789600000000064e+03 7.049188214221955295e-01 3.201679881816029694e-01
1.979999999999999982e+00 9.170591796874999480e-01 -3.654115200000000186e+03 7.406011287111901042e-01 4.518738626696824356e-01
2.000000000000000000e+00 9.103246093750000378e-01 -3.646230399999999918e+03 7.462518837501193048e-01 3.757479874218461191e-01
2.020000000000000018e+00 9.020994140625000490e-01 -3.524819599999999809e+03 8.189259784200925152e-01 5.426323677095477027e-01
2.040000000000000036e+00 8.962492187499999652e-01 -3.463670799999999872e+03 8.025118295474262808e-01 5.125944083946412100e-01
2.060000000000000053e+00 8.901738281250000107e-01 -3.491809999999999945e+03 8.198465179552454352e-01 5.029240727396573352e-01
2.080000000000000071e+00 8.784884765624999536e-01 -3.405737200000000030e+03 9.215018675676347470e-01 8.329363483887036734e-01
2.100000000000000089e+00 8.683714843750000023e-01 -3.421657200000000103e+03 9.964890005311832777e-01 9.395523094493845040e-01
2.120000000000000107e+00 8.566751953125000263e-01 -3.319438799999999901e+03 9.636151930387832909e-01 1.053626449568814349e+00
2.140000000000000124e+00 8.520634765625000329e-01 -3.365629600000000210e+03 1.022168370463381049e+00 1.161798166891770290e+00
2.160000000000000142e+00 8.085683593750000453e-01 -3.309124800000000050e+03 1.237140341542095845e+00 3.038524723307297393e+00
2.180000000000000160e+00 8.181607421875000119e-01 -3.184205199999999877e+03 1.243945389139111901e+00 1.816376428307742597e+00
2.200000000000000178e+00 7.911554687499999794e-01 -3.210394400000000132e+03 1.391150820118428166e+00 2.982585712784074250e+00
2.220000000000000195e+00 7.799052734375000462e-01 -3.247141999999999825e+03 1.282764467645720829e+00 2.309336056710994622e+00
2.240000000000000213e+00 7.009740234375000378e-01 -3.044329600000000028e+03 2.155218662308633348e+00 1.762651304113767026e+01
2.259999999999999787e+00 7.158480468750000325e-01 -2.962417600000000220e+03 1.558404083620042568e+00 5.791862898160920814e+00
2.279999999999999805e+00 7.072990234374999519e-01 -3.009295999999999822e+03 1.518428819444805233e+00 5.351517789867792807e+00
2.299999999999999822e+00 5.885697265624999508e-01 -2.878688000000000102e+03 1.734995912098239890e+00 1.957095992647762017e+01
2.319999999999999840e+00 5.832822265624999503e-01 -2.625112399999999980e+03 1.874659655747134890e+00 1.529192392872779571e+01
2.339999999999999858e+00 3.030357421875000123e-01 -2.930163199999999961e+03 1.252557754401240508e+00 1.670073633064569307e+01
2.359999999999999876e+00 3.447902343750000043e-01 -2.589974400000000060e+03 1.554664380745428787e+00 1.838492640565413438e+01
2.379999999999999893e+00 3.991066406250000087e-01 -2.574697200000000066e+03 1.491108997394762881e+00 1.707214618113182425e+01
2.399999999999999911e+00 3.598931640624999928e-01 -2.429323199999999815e+03 1.414769887586923458e+00 1.822803241521810946e+01
2.419999999999999929e+00 2.773777343750000179e-01 -2.409357599999999820e+03 1.234296046953001769e+00 1.596645999683625661e+01
2.439999999999999947e+00 3.048927734374999865e-01 -2.543178800000000138e+03 1.168057330622327861e+00 1.558217541942559947e+01
2.459999999999999964e+00 2.283281249999999929e-01 -2.397251200000000154e+03 9.674620042631837391e-01 9.384475330284555383e+00
2.479999999999999982e+00 1.845146484375000118e-01 -2.256735599999999977e+03 9.020609451976575599e-01 7.641109166692915622e+00
2.500000000000000000e+00 2.035314453125000034e-01 -2.482284400000000005e+03 9.030543619749369366e-01 9.145605303734376079e+00
2.520000000000000018e+00 2.105009765624999973e-01 -2.163258400000000165e+03 9.088340568112394102e-01 9.476708128332715475e+00
2.540000000000000036e+00 1.675480468749999952e-01 -2.142557600000000093e+03 8.035738412758651750e-01 6.339200299643209746e+00
2.560000000000000053e+00 1.380095703124999962e-01 -2.146686400000000049e+03 6.991938434601496777e-01 4.582340562728882460e+00
2.580000000000000071e+00 1.722806640625000052e-01 -2.283886800000000221e+03 7.928772006779832848e-01 7.078497094098229248e+00
