# T        m        E       c       chi
1.800000000000000044e+00 9.583359375000000124e-01 -9.888016000000000076e+02 4.250895030864222934e-01 1.065617274305610540e-01
1.820000000000000062e+00 9.541351562500000050e-01 -9.700807999999999538e+02 4.574212044138387667e-01 1.497783440075576566e-01
1.840000000000000080e+00 9.485437500000000188e-01 -9.544243999999999915e+02 4.999251017175672107e-01 1.500334157608770591e-01
1.860000000000000098e+00 9.478507812499999963e-01 -9.412996000000000549e+02 4.829124029871509904e-01 1.293140120127699577e-01
1.879999999999999893e+00 9.408468749999999714e-01 -9.612999999999999545e+02 5.403352584598016817e-01 1.851851183510781207e-01
1.899999999999999911e+00 9.426539062500000066e-01 -9.532648000000000366e+02 5.140134619112792791e-01 1.534333545230251172e-01
1.919999999999999929e+00 9.372828125000000066e-01 -9.255084000000000515e+02 5.401118908351006942e-01 1.596681897786389470e-01
1.939999999999999947e+00 9.168500000000000538e-01 -9.300552000000000135e+02 7.720501906419208193e-01 6.633222757731810360e-01
1.959999999999999964e+00 9.200031250000000327e-01 -9.126387999999999465e+02 6.710582164658825954e-01 3.232445140306063891e-01
1.979999999999999982e+00 9.235124999999999584e-01 -9.049095999999999549e+02 6.385236398072268171e-01 2.511368989899115389e-01
2.000000000000000000e+00 9.157421875000000266e-01 -8.760556000000000267e+02 6.646891685936680005e-01 2.609044921874925649e-01
2.020000000000000018e+00 9.074992187499999474e-01 -8.636327999999999747e+02 7.429261340799561131e-01 3.536458229424628286e-01
2.040000000000000036e+00 8.988242187499999591e-01 -8.553880000000000337e+02 7.846019409601191485e-01 4.060374521293007022e-01
2.060000000000000053e+00 8.978367187500000401e-01 -8.738855999999999540e+02 7.769314679753420716e-01 4.030596661862814178e-01
2.080000000000000071e+00 8.809289062499999767e-01 -8.944700000000000273e+02 8.839854404064919624e-01 6.055286267277701917e-01
2.100000000000000089e+00 8.667437500000000350e-01 -7.855932000000000244e+02 1.008977566751585453e+00 9.578182571428598413e-01
2.120000000000000107e+00 8.460492187500000538e-01 -8.619571999999999434e+02 1.166138493319585079e+00 1.659128003464026113e+00
2.140000000000000124e+00 8.497023437499999776e-01 -8.707967999999999620e+02 1.017478592016802796e+00 8.222722575204489681e-01
2.160000000000000142e+00 8.314031250000000206e-01 -7.961295999999999822e+02 1.098282512431368430e+00 1.176248089120374596e+00
2.180000000000000160e+00 8.293945312499999556e-01 -8.550220000000000482e+02 1.125722263356319752e+00 1.381954513689811703e+00
2.200000000000000178e+00 8.303953124999999824e-01 -8.124551999999999907e+02 9.423430986569556467e-01 9.396019292613675411e-01
2.220000000000000195e+00 8.124882812500000551e-01 -8.537663999999999760e+02 1.063605701647658774e+00 1.156190158713400695e+00
2.240000000000000213e+00 7.538773437500000396e-01 -8.181200000000000045e+02 1.338484783561844749e+00 2.437766366559707798e+00
2.259999999999999787e+00 7.071374999999999744e-01 -7.314044000000000096e+02 1.491115308437378495e+00 4.003118190265484877e+00
2.279999999999999805e+00 6.939695312500000490e-01 -7.829783999999999651e+02 1.388503804536059150e+00 3.998949769668302068e+00
2.299999999999999822e+00 7.077742187500000171e-01 -7.996828000000000429e+02 1.387133878898826556e+00 2.779727961888588172e+00
2.319999999999999840e+00 6.854945312500000387e-01 -7.614980000000000473e+02 1.277927246093669700e+00 3.002339743467126176e+00
2.339999999999999858e+00 6.201890625000000545e-01 -6.797676000000000158e+02 1.476572480527240661e+00 5.029107841613242869e+00
2.359999999999999876e+00 5.408046874999999920e-01 -6.336019999999999754e+02 1.504164344724050029e+00 6.203475046345339194e+00
2.379999999999999893e+00 5.650164062500000473e-01 -7.174679999999999609e+02 1.569487842931312382e+00 6.211793274619217264e+00
2.399999999999999911e+00 4.809968749999999904e-01 -6.563315999999999804e+02 1.367272434787341506e+00 6.325341342708336256e+00
2.419999999999999929e+00 5.143210937500000135e-01 -6.564880000000000564e+02 1.184995432347488276e+00 5.145155245286670898e+00
2.439999999999999947e+00 4.831078125000000112e-01 -6.357272000000000389e+02 1.268051565019449045e+00 6.572513391137295713e+00
2.459999999999999964e+00 3.995937500000000253e-01 -6.376087999999999738e+02 1.092029743786775864e+00 5.546254420731706603e+00
2.479999999999999982e+00 3.804312499999999986e-01 -6.558260000000000218e+02 1.093170848135872175e+00 5.464051770161289845e+00
2.500000000000000000e+00 3.991304687500000226e-01 -5.651935999999999467e+02 1.098841574400030385e+00 5.166540201937499077e+00
2.520000000000000018e+00 4.058414062499999808e-01 -5.731932000000000471e+02 1.037315731194061952e+00 4.742576666108631933e+00
2.540000000000000036e+00 3.468640625000000144e-01 -5.763211999999999762e+02 1.002887383652926623e+00 5.182314948572832591e+00
2.560000000000000053e+00 3.399687499999999862e-01 -5.381903999999999542e+02 9.380029129028855106e-01 4.448045312499999682e+00
2.580000000000000071e+00 3.326726562499999762e-01 -5.683419999999999845e+02 9.053147135651595789e-01 4.501485341509207316e+00
