# T        m        E       c       chi
1.500000000000000000e+00 9.864130844444444213e-01 -2.222384200000000055e+04 1.443188999105382919e+01 3.633932373958703721e-04
1.550000000000000044e+00 9.832851200000001235e-01 -2.190055600000000049e+04 1.672567777438499093e+01 4.504504285702958140e-04
1.600000000000000089e+00 9.796846222222221900e-01 -2.170436960000000181e+04 2.015630518645047786e+01 5.876458133383805071e-04
1.649999999999999911e+00 9.750909866666667147e-01 -2.156257319999999891e+04 2.246176010671288381e+01 7.231623409290319259e-04
1.699999999999999956e+00 9.701564444444443769e-01 -2.154372439999999915e+04 2.522382119810155388e+01 8.826075468472334993e-04
1.750000000000000000e+00 9.639343288888889694e-01 -2.111906639999999970e+04 2.879571065474529590e+01 1.140391068629334785e-03
1.800000000000000044e+00 9.568889600000000106e-01 -2.103181680000000051e+04 3.224828986719311530e+01 1.419154436008152054e-03
1.850000000000000089e+00 9.489118933333333672e-01 -2.069782800000000134e+04 3.607025358048209540e+01 1.854349524743314701e-03
1.899999999999999911e+00 9.380790400000001972e-01 -2.040253600000000006e+04 4.401092928532418114e+01 2.787326915653613821e-03
1.949999999999999956e+00 9.264076800000000667e-01 -2.034772160000000076e+04 4.702332077469450411e+01 3.475320504474035087e-03
2.000000000000000000e+00 9.115619200000001365e-01 -1.987359440000000177e+04 5.432699296176433279e+01 4.714946984719914358e-03
2.049999999999999822e+00 8.932053688888889065e-01 -1.941584960000000137e+04 6.239518438944758572e+01 7.888605413356914592e-03
2.100000000000000089e+00 8.695011555555556271e-01 -1.895111639999999898e+04 7.334503053988098031e+01 1.106909873890044721e-02
2.149999999999999911e+00 8.376175999999999622e-01 -1.854210640000000058e+04 8.118705139070756616e+01 1.872724980424063726e-02
2.200000000000000178e+00 7.851220266666667502e-01 -1.791992559999999867e+04 1.007976222167987004e+02 4.922826885390847729e-02
2.250000000000000000e+00 6.582132266666667064e-01 -1.710297560000000158e+04 1.638768603248753095e+02 2.615196116170670493e-01
2.299999999999999822e+00 4.552940800000000454e-01 -1.561430479999999989e+04 1.279589381145845266e+02 6.351239139425274294e-01
2.350000000000000089e+00 1.961037866666666685e-01 -1.426545039999999972e+04 9.238445954994141118e+01 3.539721455029760655e-01
2.399999999999999911e+00 5.584572444444445283e-02 -1.371972719999999936e+04 6.777622773187856353e+01 5.848012848623802551e-01
2.450000000000000178e+00 -1.122882844444444278e-01 -1.338609640000000036e+04 8.346880956717566846e+01 6.662449783712798279e-01
2.500000000000000000e+00 3.405539555555555514e-02 -1.249761559999999918e+04 6.015180679817199660e+01 2.773304128525653778e-01
2.549999999999999822e+00 -1.941962666666666865e-02 -1.215653080000000045e+04 5.674334948371194542e+01 2.312310843741141875e-01
2.600000000000000089e+00 5.752675555555556049e-03 -1.155702679999999964e+04 5.117657767606556973e+01 1.913887544729891699e-01
2.649999999999999911e+00 8.172586666666667096e-03 -1.151518800000000010e+04 4.636884500961421196e+01 1.194064932023905234e-01
2.700000000000000178e+00 5.368924444444443667e-03 -1.117955320000000029e+04 4.651919226293209420e+01 1.081129029530513014e-01
2.750000000000000000e+00 1.279601777777777775e-02 -1.075010440000000017e+04 4.163512683308814388e+01 9.739521784090719725e-02
2.799999999999999822e+00 -5.159359999999999120e-03 -1.020131120000000010e+04 3.942355774586298622e+01 8.120155220490160586e-02
2.850000000000000089e+00 6.462791111111108877e-03 -1.026619080000000031e+04 3.610638825543858843e+01 8.258215210896217851e-02
2.899999999999999911e+00 -5.874844444444448852e-04 -9.846578799999999319e+03 3.357403121772286880e+01 5.592645870250012585e-02
2.950000000000000178e+00 2.263039999999999583e-03 -9.527033600000000661e+03 3.151971206897453115e+01 5.255318328393922267e-02
