# T        m        E       c       chi
1.500000000000000000e+00 9.865216800000000674e-01 -9.878388800000000629e+03 9.919993195931116503e+00 5.604003325869003635e-04
1.550000000000000044e+00 9.833919199999999750e-01 -9.695466399999999339e+03 1.161912400466966488e+01 6.785640875431767994e-04
1.600000000000000089e+00 9.797502400000001055e-01 -9.725129600000000210e+03 1.321523127995896729e+01 8.483866231999426244e-04
1.649999999999999911e+00 9.748804799999999382e-01 -9.576180399999999281e+03 1.531259251319563219e+01 1.155798877871421155e-03
1.699999999999999956e+00 9.702352000000000753e-01 -9.486276799999999639e+03 1.724895350702081487e+01 1.319099557646066703e-03
1.750000000000000000e+00 9.639620800000000544e-01 -9.486387199999999211e+03 1.944170890564821264e+01 1.726956859242940448e-03
1.800000000000000044e+00 9.565403200000001105e-01 -9.446658400000000256e+03 2.297549697177277750e+01 2.380128619373768004e-03
1.850000000000000089e+00 9.485008000000001438e-01 -9.346324000000000524e+03 2.559809626881617817e+01 3.172731225934391670e-03
1.899999999999999911e+00 9.388484000000000274e-01 -9.069269200000000637e+03 2.775970931495655947e+01 3.638270985259338397e-03
1.949999999999999956e+00 9.267340800000000156e-01 -9.019468399999999747e+03 3.390657199965269797e+01 6.119706424452709022e-03
2.000000000000000000e+00 9.109279999999998489e-01 -8.741995600000000195e+03 3.607937590323388832e+01 7.323603200010131431e-03
2.049999999999999822e+00 8.915683199999999697e-01 -8.694804000000000087e+03 4.366930533731927255e+01 1.459829122872387773e-02
2.100000000000000089e+00 8.713273599999999952e-01 -8.598406800000000658e+03 4.936250754535333130e+01 1.814692046262870312e-02
2.149999999999999911e+00 8.411172000000000093e-01 -8.272047599999999875e+03 5.479623638397298180e+01 2.500011591069818337e-02
2.200000000000000178e+00 7.841332000000000857e-01 -7.779949200000000019e+03 6.273953974939697531e+01 7.695031240363313374e-02
2.250000000000000000e+00 7.340142399999999290e-01 -7.649300000000000182e+03 7.174791111110168629e+01 8.935993576050114962e-02
2.299999999999999822e+00 6.171310400000000751e-01 -7.198084399999999732e+03 9.107849405156643741e+01 2.407691460112676984e-01
2.350000000000000089e+00 -1.052967199999999826e-01 -6.724813199999999597e+03 6.266926176826464001e+01 1.781176137303012608e+00
2.399999999999999911e+00 5.403759999999982293e-03 -6.167595999999999549e+03 4.857634438892515760e+01 1.168130012372133653e+00
2.450000000000000178e+00 2.306087999999999888e-02 -6.106255199999999604e+03 5.601400107609534729e+01 1.038936871951542606e+00
2.500000000000000000e+00 2.009392000000000122e-02 -5.609408000000000357e+03 4.249425387519598019e+01 4.201280719006719733e-01
2.549999999999999822e+00 3.162279999999999952e-02 -5.436340400000000045e+03 3.874195625633287676e+01 2.689172202384313981e-01
2.600000000000000089e+00 3.802727999999999664e-02 -5.289818000000000211e+03 3.589026886390069393e+01 2.541642047654154024e-01
2.649999999999999911e+00 1.051512000000000453e-02 -5.122826399999999921e+03 3.298293958857374264e+01 2.775929888940679158e-01
2.700000000000000178e+00 -1.538160000000001956e-03 -4.936065200000000004e+03 2.966948847451204685e+01 1.352582035521185111e-01
2.750000000000000000e+00 -2.132759999999999864e-02 -4.776589600000000246e+03 2.831493176022836877e+01 1.474818392407273027e-01
2.799999999999999822e+00 2.327999999999988824e-04 -4.726240799999999581e+03 2.554244799837850621e+01 1.254447327885714336e-01
2.850000000000000089e+00 -1.503864000000000069e-02 -4.421069199999999910e+03 2.422025733790826152e+01 9.797610910439297216e-02
2.899999999999999911e+00 -7.984639999999999446e-03 -4.333460399999999936e+03 2.259750209712422375e+01 1.187612803460413868e-01
2.950000000000000178e+00 2.561759999999999298e-03 -4.207733599999999569e+03 2.095253600928845827e+01 8.656862063902373561e-02
