# T        m        E       c       chi
1.500000000000000000e+00 9.870560000000001555e-01 -9.880559999999999832e+01 1.896214869333198161e-01 2.325554773332701511e-02
1.550000000000000044e+00 9.838479999999999448e-01 -9.852160000000000650e+01 2.188642404162294275e-01 2.854569187096721999e-02
1.600000000000000089e+00 9.804239999999999622e-01 -9.824399999999999977e+01 2.495197500000187474e-01 3.606219100000043754e-02
1.649999999999999911e+00 9.756799999999998807e-01 -8.989400000000000546e+01 2.928832176308367452e-01 5.426269090909782017e-02
1.699999999999999956e+00 9.654239999999999489e-01 -9.728040000000000020e+01 3.873740600692016645e-01 1.108144150588254717e-01
1.750000000000000000e+00 9.576080000000000148e-01 -9.675039999999999907e+01 4.496417938285668936e-01 1.425834047999991749e-01
1.800000000000000044e+00 9.647119999999999029e-01 -8.889679999999999893e+01 3.566487624691405678e-01 6.171829244444747287e-02
1.850000000000000089e+00 9.576479999999999437e-01 -9.634759999999999991e+01 4.008762511614394342e-01 7.816092021621533215e-02
1.899999999999999911e+00 9.350079999999999503e-01 -9.506799999999999784e+01 5.770479335180042080e-01 1.923373675789497583e-01
1.949999999999999956e+00 9.362879999999998981e-01 -8.692000000000000171e+01 5.354456278763911614e-01 1.438971930256449927e-01
2.000000000000000000e+00 9.183279999999999221e-01 -9.377800000000000580e+01 6.372351599999820371e-01 2.083090552000024798e-01
2.049999999999999822e+00 9.033680000000000598e-01 -9.293600000000000705e+01 6.927143747768963467e-01 2.637797143414646328e-01
2.100000000000000089e+00 8.798479999999999634e-01 -8.381040000000000134e+01 7.699669101133779225e-01 3.895616297142872053e-01
2.149999999999999911e+00 8.552400000000000002e-01 -9.050960000000000605e+01 8.835211062411995053e-01 4.747170046511623998e-01
2.200000000000000178e+00 8.564879999999999161e-01 -7.006040000000000134e+01 8.318640647933887022e-01 3.927871120000019367e-01
2.250000000000000000e+00 8.248079999999997636e-01 -8.857599999999999341e+01 8.971585106172880186e-01 5.118462570666701961e-01
2.299999999999999822e+00 8.165200000000000236e-01 -8.801680000000000348e+01 8.820122325897813420e-01 5.162683652173910565e-01
2.350000000000000089e+00 7.671119999999999051e-01 -8.576479999999999393e+01 9.618997262833905992e-01 6.734840367659586935e-01
2.399999999999999911e+00 7.723679999999998325e-01 -7.753799999999999670e+01 9.284733055555547399e-01 5.985799226666694839e-01
2.450000000000000178e+00 7.469120000000000203e-01 -8.429000000000000625e+01 9.224789670970318101e-01 6.398063699591846065e-01
2.500000000000000000e+00 7.111520000000000064e-01 -6.668359999999999843e+01 9.319417026559997375e-01 7.063915289599997926e-01
2.549999999999999822e+00 6.883679999999999799e-01 -5.360640000000000072e+01 8.980292443829288596e-01 7.266044762352946718e-01
2.600000000000000089e+00 6.643039999999998946e-01 -5.271399999999999864e+01 8.904556449704171817e-01 7.854464960000018259e-01
2.649999999999999911e+00 6.469359999999999555e-01 -6.344319999999999737e+01 8.238865005909626893e-01 7.168533198490570912e-01
2.700000000000000178e+00 6.343279999999998919e-01 -5.089600000000000080e+01 8.133025185185164263e-01 7.459895223703720823e-01
2.750000000000000000e+00 5.988240000000000229e-01 -7.735120000000000573e+01 7.764197477553672622e-01 7.532732456727273540e-01
2.799999999999999822e+00 5.875839999999998842e-01 -6.859839999999999804e+01 7.645403951020427469e-01 7.384293120000016142e-01
2.850000000000000089e+00 5.681279999999999664e-01 -4.370239999999999725e+01 6.862805010280090823e-01 6.949994352280706167e-01
2.899999999999999911e+00 5.465519999999999268e-01 -7.469960000000000377e+01 6.625263250416159044e-01 7.016906146206901562e-01
2.950000000000000178e+00 5.522399999999999531e-01 -3.460960000000000036e+01 6.352105157828210613e-01 6.659900203389833573e-01
