# T        m        E       c       chi
1.800000000000000044e+00 9.571634765625000041e-01 -1.580994119999999930e+04 4.371648147090677061e-01 1.070830443576495650e-01
1.820000000000000062e+00 9.536950195312500211e-01 -1.521280520000000070e+04 4.713663269890180363e-01 1.310709871004691607e-01
1.840000000000000080e+00 9.507472167968750165e-01 -1.519941760000000068e+04 4.521405925075731025e-01 1.204578814484035393e-01
1.860000000000000098e+00 9.456979492187499448e-01 -1.504549840000000040e+04 4.974503406717202814e-01 1.594315186283531138e-01
1.879999999999999893e+00 9.422172363281250407e-01 -1.491130080000000089e+04 5.323948249701548896e-01 1.772005439606607335e-01
1.899999999999999911e+00 9.384392578125000384e-01 -1.492542400000000089e+04 5.731928064383874366e-01 1.938921479440499640e-01
1.919999999999999929e+00 9.338780273437500279e-01 -1.477966280000000006e+04 5.793509944377698284e-01 2.110922460732448935e-01
1.939999999999999947e+00 9.286869140625000352e-01 -1.485591439999999966e+04 5.906150590116759913e-01 2.312849243717491343e-01
1.959999999999999964e+00 9.232635742187500494e-01 -1.453895119999999952e+04 6.492597598914746637e-01 2.825967601837670040e-01
1.979999999999999982e+00 9.181550781249999682e-01 -1.419173919999999998e+04 6.862528665744550560e-01 2.964639468119558696e-01
2.000000000000000000e+00 9.110644531249999512e-01 -1.434695199999999932e+04 7.317675351569050690e-01 3.947026367188755103e-01
2.020000000000000018e+00 9.040612304687499767e-01 -1.434786759999999958e+04 8.431091739539938734e-01 5.253540267444399836e-01
2.040000000000000036e+00 8.961393066406250218e-01 -1.431371800000000076e+04 7.784096990828979212e-01 4.717906877631856677e-01
2.060000000000000053e+00 8.902179687500000327e-01 -1.380361520000000019e+04 8.488118003801298217e-01 5.665774381065946663e-01
2.080000000000000071e+00 8.760615722656249771e-01 -1.376698680000000058e+04 8.842552583317593307e-01 7.506516625929074982e-01
2.100000000000000089e+00 8.652855468750000334e-01 -1.391123999999999978e+04 1.044811419359618965e+00 1.137906815922525183e+00
2.120000000000000107e+00 8.532765136718749588e-01 -1.341327440000000024e+04 1.029532840555568596e+00 1.549743096767379535e+00
2.140000000000000124e+00 8.413505859375000062e-01 -1.354961759999999958e+04 1.151754571770279734e+00 1.713200480067213816e+00
2.160000000000000142e+00 8.274964843750000076e-01 -1.323150679999999920e+04 1.097992736323025742e+00 1.708161402343774782e+00
2.180000000000000160e+00 8.099602050781250506e-01 -1.292725200000000041e+04 1.242733631130943373e+00 2.827535880944255009e+00
2.200000000000000178e+00 7.788976562499999590e-01 -1.265355839999999989e+04 1.322931472623919191e+00 3.279685515909187998e+00
2.220000000000000195e+00 7.563263183593750272e-01 -1.263390079999999944e+04 1.620776381027582591e+00 6.378423683096476005e+00
2.240000000000000213e+00 7.385823730468750181e-01 -1.223138520000000062e+04 1.350742477346007275e+00 3.315492545475454023e+00
2.259999999999999787e+00 6.696656250000000421e-01 -1.204383480000000054e+04 1.941149734517114034e+00 1.385958447912046410e+01
2.279999999999999805e+00 6.752565917968750275e-01 -1.172527039999999943e+04 1.418704801477670641e+00 7.788664914743462120e+00
2.299999999999999822e+00 3.255540527343749879e-01 -1.138325000000000000e+04 1.672490654352426276e+00 5.999646438345367017e+01
2.319999999999999840e+00 2.284124511718750028e-01 -1.091695039999999972e+04 1.138698107954229100e+00 2.342217699871616077e+01
2.339999999999999858e+00 2.446257812500000073e-01 -1.067256840000000011e+04 1.285819924122035829e+00 3.919544544564636368e+01
2.359999999999999876e+00 1.116904785156249968e-01 -1.055242000000000007e+04 1.175601265547906227e+00 1.430512934801625669e+01
2.379999999999999893e+00 1.132686035156249965e-01 -9.653515999999999622e+03 1.103950881134393214e+00 1.244710700711905815e+01
2.399999999999999911e+00 1.431701660156249889e-01 -9.805376000000000204e+03 1.212995377603773628e+00 1.418042543284099111e+01
2.419999999999999929e+00 1.128111816406249940e-01 -9.575740799999999581e+03 9.118242975637221859e-01 1.070734992764963422e+01
2.439999999999999947e+00 1.689323242187500129e-01 -9.654623600000000806e+03 1.050055386124153944e+00 2.046683805569607628e+01
2.459999999999999964e+00 1.274981445312499961e-01 -9.327770800000000236e+03 9.618512670652320518e-01 1.063391692770261798e+01
2.479999999999999982e+00 1.221708007812500052e-01 -9.072165600000000268e+03 9.949756100972417805e-01 1.138084474481791908e+01
2.500000000000000000e+00 1.015296386718750055e-01 -9.117153200000000652e+03 8.281273644434986592e-01 1.003122201980859529e+01
2.520000000000000018e+00 8.490649414062499678e-02 -9.058450800000000527e+03 8.502113909097622768e-01 7.380445447261752001e+00
2.540000000000000036e+00 1.133059082031249998e-01 -8.834262000000000626e+03 8.267993294234957657e-01 8.774648418180207798e+00
2.560000000000000053e+00 7.302812499999999929e-02 -8.939274799999999232e+03 7.668969811863712849e-01 4.859008638549805248e+00
2.580000000000000071e+00 8.076840820312500280e-02 -8.742973599999999351e+03 7.000253963994899076e-01 6.135033745272377104e+00
