# T        m        E       c       chi
1.500000000000000000e+00 9.868120000000001335e-01 -3.951412000000000262e+02 1.933798335998370699e-01 2.383977706664393639e-02
1.550000000000000044e+00 9.841060000000001473e-01 -3.942912000000000035e+02 2.181527681998098045e-01 3.293811380643229397e-02
1.600000000000000089e+00 9.782939999999999969e-01 -3.924868000000000166e+02 2.767555693749272350e-01 4.757559774999642332e-02
1.649999999999999911e+00 9.759940000000000282e-01 -3.835579999999999927e+02 2.796423728190811087e-01 4.600193721211184861e-02
1.699999999999999956e+00 9.664720000000001088e-01 -3.892019999999999982e+02 3.930463529411248325e-01 1.187360715293918900e-01
1.750000000000000000e+00 9.642880000000001450e-01 -3.720548000000000002e+02 3.848417859918875084e-01 8.308646034283892479e-02
1.800000000000000044e+00 9.569260000000000543e-01 -3.858888000000000034e+02 4.327025758024387048e-01 9.816614022221484270e-02
1.850000000000000089e+00 9.414960000000001106e-01 -3.824728000000000065e+02 5.705971078450741141e-01 2.378465937297090382e-01
1.899999999999999911e+00 9.334080000000000155e-01 -3.403543999999999983e+02 6.394925225484816567e-01 2.966476597894636136e-01
1.949999999999999956e+00 9.292360000000000619e-01 -3.704051999999999794e+02 5.984247546614852586e-01 2.158346822563969036e-01
2.000000000000000000e+00 9.125680000000000458e-01 -3.668224000000000160e+02 7.313331455999286801e-01 3.358902687999876235e-01
2.049999999999999822e+00 8.834340000000000526e-01 -3.257640000000000100e+02 9.007712171326369699e-01 7.359964704390146162e-01
2.100000000000000089e+00 8.717459999999999098e-01 -3.588867999999999938e+02 9.696670878911720637e-01 8.906091182857144295e-01
2.149999999999999911e+00 8.531780000000001030e-01 -3.260011999999999830e+02 9.337354214386192064e-01 6.666558286511469200e-01
2.200000000000000178e+00 8.004339999999999788e-01 -3.397404000000000224e+02 1.182164892231374775e+00 1.686476892909092307e+00
2.250000000000000000e+00 7.465539999999999399e-01 -3.389347999999999956e+02 1.279708738686419212e+00 1.861399337066672821e+00
2.299999999999999822e+00 7.594020000000000215e-01 -2.900083999999999946e+02 1.083771511228736273e+00 1.320260973739128652e+00
2.350000000000000089e+00 6.813119999999999177e-01 -2.841772000000000276e+02 1.264891987614287672e+00 1.966170155574473721e+00
2.399999999999999911e+00 6.259419999999999984e-01 -2.303220000000000027e+02 1.304025548611106311e+00 2.607540526500002009e+00
2.450000000000000178e+00 5.882659999999999556e-01 -2.485320000000000107e+02 1.163118327363587445e+00 2.405310744653063271e+00
2.500000000000000000e+00 5.321219999999999839e-01 -2.623668000000000120e+02 1.124423452415992397e+00 2.610127084640001538e+00
2.549999999999999822e+00 4.996280000000000721e-01 -2.010080000000000098e+02 1.003549920799684081e+00 2.452574965333331303e+00
2.600000000000000089e+00 4.679619999999999891e-01 -2.338720000000000141e+02 9.622668875739549543e-01 2.539298713692310194e+00
2.649999999999999911e+00 3.918059999999999876e-01 -2.410407999999999902e+02 7.675692920754724202e-01 2.098518428830188132e+00
2.700000000000000178e+00 3.974720000000000475e-01 -1.720244000000000142e+02 7.552145468312685406e-01 2.070889230222220601e+00
2.750000000000000000e+00 3.548100000000000143e-01 -1.913172000000000139e+02 6.678375988892445436e-01 1.903920869090907741e+00
2.799999999999999822e+00 3.598379999999999912e-01 -1.739091999999999985e+02 6.214996879591860868e-01 1.751294777000000691e+00
2.850000000000000089e+00 3.163320000000000021e-01 -1.691855999999999938e+02 5.288253033425670546e-01 1.469043711438597022e+00
2.899999999999999911e+00 2.840280000000000027e-01 -1.983779999999999859e+02 4.655042996432868785e-01 1.292604662620689515e+00
2.950000000000000178e+00 2.812460000000000515e-01 -1.520427999999999997e+02 4.398659789255968677e-01 1.209757541830507543e+00
